metric,backbone,exclusion_set,value,baseline_value,pct_shift_from_baseline,sign_flip
tilt_active_rate,protenix,E1,0.563404255319149,0.5671578947368421,-0.6618332306623008,False
median_tilt_shift,boltz,E2,5.036307399878147,5.036307399878147,0.0,False
fraction_of_way_to_active,boltz,E2,0.9471950017465284,0.9471950017465284,0.0,False
apo_active_rate,boltz,E2,0.1598326359832636,0.1598326359832636,0.0,False
cognate_active_rate,boltz,E2,0.8341880341880342,0.8341880341880342,0.0,False
tilt_active_rate,boltz,E2,0.5784355179704017,0.5784355179704017,0.0,False
median_tilt_shift,chai,E2,1.047307481027726,1.047307481027726,0.0,False
fraction_of_way_to_active,chai,E2,0.8841178702979391,0.8841178702979391,0.0,False
apo_active_rate,chai,E2,0.3261050875729774,0.3266666666666666,-0.1719119674558781,False
cognate_active_rate,chai,E2,0.7497872340425532,0.7497872340425532,0.0,False
tilt_active_rate,chai,E2,0.5960404380791913,0.5962105263157895,-0.0285282176497777,False
median_tilt_shift,of3,E2,4.814160360618894,4.814160360618894,0.0,False
fraction_of_way_to_active,of3,E2,0.9339782025693488,0.9339782025693488,0.0,False
apo_active_rate,of3,E2,0.2410341951626355,0.2416666666666666,-0.2617123464956465,False
cognate_active_rate,of3,E2,0.7989778534923339,0.7991489361702128,-0.0214081093192457,False
tilt_active_rate,of3,E2,0.6072482090181205,0.6075789473684211,-0.0544354526655557,False
median_tilt_shift,protenix,E2,5.307282224462718,5.307282224462718,0.0,False
fraction_of_way_to_active,protenix,E2,0.9201264714510232,0.9201264714510232,0.0,False
apo_active_rate,protenix,E2,0.1451209341117598,0.145,0.0834028356964226,False
cognate_active_rate,protenix,E2,0.8706382978723404,0.8706382978723404,0.0,False
tilt_active_rate,protenix,E2,0.567396798652064,0.5671578947368421,0.0421229991575478,False
median_tilt_shift,boltz,E1+E2,5.036307399878147,5.036307399878147,0.0,False
fraction_of_way_to_active,boltz,E1+E2,0.9471950017465284,0.9471950017465284,0.0,False
apo_active_rate,boltz,E1+E2,0.1598326359832636,0.1598326359832636,0.0,False
cognate_active_rate,boltz,E1+E2,0.8341880341880342,0.8341880341880342,0.0,False
tilt_active_rate,boltz,E1+E2,0.5784355179704017,0.5784355179704017,0.0,False
median_tilt_shift,chai,E1+E2,1.047307481027726,1.047307481027726,0.0,False
fraction_of_way_to_active,chai,E1+E2,0.8841178702979391,0.8841178702979391,0.0,False
apo_active_rate,chai,E1+E2,0.3261050875729774,0.3266666666666666,-0.1719119674558781,False
cognate_active_rate,chai,E1+E2,0.7497872340425532,0.7497872340425532,0.0,False
tilt_active_rate,chai,E1+E2,0.5960404380791913,0.5962105263157895,-0.0285282176497777,False
median_tilt_shift,of3,E1+E2,4.814160360618894,4.814160360618894,0.0,False
fraction_of_way_to_active,of3,E1+E2,0.9339782025693488,0.9339782025693488,0.0,False
apo_active_rate,of3,E1+E2,0.2410341951626355,0.2416666666666666,-0.2617123464956465,False
