draw_id,backbone,frame,contrast,scale,term_estimate
43,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.5431783091366147
43,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.312534524328476
43,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,1.46188893270613
44,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.44666666666666666
44,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2928571428571429
44,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.0519047619047619
44,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.157621820876459
44,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.64796554689521
44,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.6330289135064686
45,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.5425
45,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.27375000000000005
45,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.03125
45,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.876766105840386
45,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.7073869865577733
45,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.42655545908796944
46,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.4412499999999999
46,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.3918750000000001
46,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.013749999999999929
46,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.17048203660093
46,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,3.071500065148012
46,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.550425611226939
47,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.475
47,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.301875
47,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.018750000000000044
47,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.3513752571634776
47,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.8127686453173983
47,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.23263557657847667
48,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.4524324324324325
48,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2994594594594594
48,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.043243243243243246
48,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,3.2910915674976198
48,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.3547266681092596
48,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.2792323215013055
49,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.4329411764705882
49,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.3276470588235294
49,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.02941176470588236
49,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.1457280515690442
49,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.8547207282434446
49,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.3515652876271562
50,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.42624999999999996
50,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.29125
50,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,-0.0006249999999999867
50,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.2891815633804113
50,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.3994999175431184
50,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,-0.004217302436589909
